0,!
1,!?
2,'
3,''
4,'30s
5,'40s
6,'50s
7,'53
8,'60s
9,'70s
10,'80s
11,'90s
12,'d
13,'em
14,'ll
15,'m
16,'n
17,'n'
18,'re
19,'s
20,'til
21,'ve
22,(
23,)
24,","
25,00
26,007
27,1
28,10
29,"10,000"
30,100
31,101
32,102
33,103
34,104
35,105
36,10th
37,11
38,110
39,112
40,117
41,11th
42,12
43,120
44,123
45,125
46,127
47,129
48,12th
49,13
50,13th
51,14
52,140
53,146
54,15
55,15th
56,16
57,163
58,168
59,17
60,170
61,179
62,1790
63,18
64,180
65,1873
66,1899
67,18th
68,19
69,1915
70,1920
71,1930s
72,1933
73,1934
74,1937
75,1938
76,1940s
77,1949
78,1950
79,1950s
80,1952
81,1953
82,1954
83,1955
84,1957
85,1958
86,1959
87,1960
88,1960s
89,1962
90,1967
91,1970
92,1970s
93,1971
94,1972
95,1973
96,1975
97,1978
98,1979
99,1980
100,1980s
101,1982
102,1983
103,1984
104,1986
105,1987
106,1988
107,1989
108,1990
109,1991
110,1992
111,1993
112,1994
113,1995
114,1997
115,1998
116,1999
117,19th
118,2
119,"2,500"
120,20
121,"20,000"
122,2000
123,2001
124,2002
125,20th
126,21
127,21st
128,22
129,24
130,2455
131,25
132,2525
133,25s
134,26
135,270
136,28k
137,295
138,3
139,30
140,300
141,3000
142,33
143,37
144,3d
145,4
146,40
147,400
148,401
149,42
150,45
151,451
152,48
153,49
154,4ever
155,4th
156,4w
157,5
158,50
159,50s
160,51
161,51st
162,52
163,5ths
164,6
165,60
166,60s
167,65
168,65th
169,66
170,7
171,70
172,70s
173,71
174,72
175,75
176,76
177,77
178,78
179,79
180,7th
181,8
182,80
183,800
184,82
185,83
186,84
187,85
188,86
189,87
190,88
191,89
192,8th
193,9
194,90
195,91
196,93
197,94
198,95
199,96
200,97
201,98
202,99
203,?
204,?!?
205,`
206,``
207,a
208,aaa
209,aaliyah
210,aan
211,abagnale
212,abandon
213,abandoned
214,abandons
215,abbas
216,abbass
217,abbott
218,abbreviated
219,abc
220,abderrahmane
221,abdul
222,abel
223,aberration
224,abhorrent
225,abhors
226,abiding
227,abilities
228,ability
229,abject
230,able
231,ably
232,abomination
233,aborbing
234,aboriginal
235,aborted
236,aboul
237,abound
238,about
239,above
240,abrahams
241,abrams
242,abrasive
243,abridged
244,abroad
245,abrupt
246,abruptly
247,absence
248,absent
249,absolute
250,absolutely
251,absorb
252,absorbed
253,absorbing
254,absorbs
255,absorption
256,abstract
257,absurd
258,absurdist
259,absurdities
260,absurdity
261,absurdly
262,abundance
263,abundant
264,abundantly
265,abuse
266,abused
267,abusers
268,abuses
269,abysmal
270,abysmally
271,abyss
272,academic
273,academy
274,accelerated
275,accent
276,accents
277,accentuating
278,accept
279,acceptable
280,acceptance
281,accepting
282,accepts
283,access
284,accessibility
285,accessible
